nuts1-2016	country	name
AL	AL	SHQIPËRIA
AT	AT	ÖSTERREICH
BE	BE	BELGIQUE-BELGIË
BG	BG	БЪЛГАРИЯ
CH	CH	SCHWEIZ/SUISSE/SVIZZERA
CY	CY	ΚΥΠΡΟΣ
CZ	CZ	ČESKÁ REPUBLIKA
DE	DE	DEUTSCHLAND
DK	DK	DANMARK
EE	EE	EESTI
EL	EL	ΕΛΛΑΔΑ
ES	ES	ESPAÑA
FI	FI	SUOMI / FINLAND
FR	FR	FRANCE
HR	HR	HRVATSKA
HU	HU	MAGYARORSZÁG
IE	IE	IRELAND
IS	IS	ÍSLAND
IT	IT	ITALIA
LI	LI	LIECHTENSTEIN
LT	LT	LIETUVA
LU	LU	LUXEMBOURG
LV	LV	LATVIJA
ME	ME	ЦРНА ГОРА
MK	MK	North Macedonia
MT	MT	MALTA
NL	NL	NEDERLAND
NO	NO	NORGE
PL	PL	POLSKA
PT	PT	PORTUGAL
RO	RO	ROMÂNIA
RS	RS	REPUBLIKA SRBIJA /РЕПУБЛИКА СРБИЈА
SE	SE	SVERIGE
SI	SI	SLOVENIJA
SK	SK	SLOVENSKO
TR	TR	TÜRKIYE
UK	UK	UNITED KINGDOM
