nuts3-2016	nuts2-2016	nuts1-2016	name
AL01	AL0	AL	Veri
AL02	AL0	AL	Qender
AL03	AL0	AL	Jug
AT11	AT1	AT	Burgenland
AT12	AT1	AT	Niederösterreich
AT13	AT1	AT	Wien
AT21	AT2	AT	Kärnten
AT22	AT2	AT	Steiermark
AT31	AT3	AT	Oberösterreich
AT32	AT3	AT	Salzburg
AT33	AT3	AT	Tirol
AT34	AT3	AT	Vorarlberg
BE10	BE1	BE	Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest
BE21	BE2	BE	Prov. Antwerpen
BE22	BE2	BE	Prov. Limburg (BE)
BE23	BE2	BE	Prov. Oost-Vlaanderen
BE24	BE2	BE	Prov. Vlaams-Brabant
BE25	BE2	BE	Prov. West-Vlaanderen
BE31	BE3	BE	Prov. Brabant Wallon
BE32	BE3	BE	Prov. Hainaut
BE33	BE3	BE	Prov. Liège
BE34	BE3	BE	Prov. Luxembourg (BE)
BE35	BE3	BE	Prov. Namur
BG31	BG3	BG	Северозападен
BG32	BG3	BG	Северен централен
BG33	BG3	BG	Североизточен
BG34	BG3	BG	Югоизточен
BG41	BG4	BG	Югозападен
BG42	BG4	BG	Южен централен
CH01	CH0	CH	Région lémanique
CH02	CH0	CH	Espace Mittelland
CH03	CH0	CH	Nordwestschweiz
CH04	CH0	CH	Zürich
CH05	CH0	CH	Ostschweiz
CH06	CH0	CH	Zentralschweiz
CH07	CH0	CH	Ticino
CY00	CY0	CY	Κύπρος
CZ01	CZ0	CZ	Praha
CZ02	CZ0	CZ	Střední Čechy
CZ03	CZ0	CZ	Jihozápad
CZ04	CZ0	CZ	Severozápad
CZ05	CZ0	CZ	Severovýchod
CZ06	CZ0	CZ	Jihovýchod
CZ07	CZ0	CZ	Střední Morava
CZ08	CZ0	CZ	Moravskoslezsko
DE11	DE1	DE	Stuttgart
DE12	DE1	DE	Karlsruhe
DE13	DE1	DE	Freiburg
DE14	DE1	DE	Tübingen
DE21	DE2	DE	Oberbayern
DE22	DE2	DE	Niederbayern
DE23	DE2	DE	Oberpfalz
DE24	DE2	DE	Oberfranken
DE25	DE2	DE	Mittelfranken
DE26	DE2	DE	Unterfranken
DE27	DE2	DE	Schwaben
DE30	DE3	DE	Berlin
DE40	DE4	DE	Brandenburg
DE50	DE5	DE	Bremen
DE60	DE6	DE	Hamburg
DE71	DE7	DE	Darmstadt
DE72	DE7	DE	Gießen
